sSCENARIO,dGAMMAI,dBETAI,dRHOIX
SCEN_221,3.0,1.0,-1.0
SCEN_222,3.0,1.0,-0.5
SCEN_223,3.0,1.0,0.0
SCEN_224,3.0,1.0,0.5
SCEN_225,3.0,1.0,1.0
SCEN_226,3.0,1.5,-1.0
SCEN_227,3.0,1.5,-0.5
SCEN_228,3.0,1.5,0.0
SCEN_229,3.0,1.5,0.5
SCEN_230,3.0,1.5,1.0
SCEN_231,3.0,2.0,-1.0
SCEN_232,3.0,2.0,-0.5
SCEN_233,3.0,2.0,0.0
SCEN_234,3.0,2.0,0.5
SCEN_235,3.0,2.0,1.0
SCEN_236,3.0,2.5,-1.0
SCEN_237,3.0,2.5,-0.5
SCEN_238,3.0,2.5,0.0
SCEN_239,3.0,2.5,0.5
SCEN_240,3.0,2.5,1.0
SCEN_241,3.0,3.0,-1.0
SCEN_242,3.0,3.0,-0.5
SCEN_243,3.0,3.0,0.0
SCEN_244,3.0,3.0,0.5
SCEN_245,3.0,3.0,1.0
